ZIP,confirmed_cases,population,Income_level,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Acton,18.42622950819672,6522.0,2.0,83.1263114754098,36.08467213114754,86.73639344262297,-40.22950819672131,-13.557377049180328,-18.5,-43.33606557377049,-39.81967213114754,16.475409836065573
Agoura Hills,46.833333333333336,20324.0,2.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
Alhambra,293.2661870503597,85961.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Altadena,172.80882352941177,42680.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Arcadia,112.81294964028777,52951.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Arleta,349.7692307692308,31068.0,2.0,80.77130769230769,35.453615384615404,84.26684615384616,-40.5,-14.023076923076923,-19.776923076923076,-43.83076923076923,-40.33076923076923,16.838461538461537
Avalon,4.714285714285714,3181.0,2.0,105.20714285714287,45.64476190476191,111.29904761904763,-31.11904761904762,-10.857142857142858,-5.214285714285714,-39.214285714285715,-36.523809523809526,13.380952380952381
Azusa,327.9767441860465,44384.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Baldwin Hills,177.02898550724638,30123.0,1.0,78.99615942028984,35.2213043478261,82.25956521739133,-40.528985507246375,-13.91304347826087,-20.333333333333332,-43.93478260869565,-40.35507246376812,17.007246376811594
Baldwin Park,649.741935483871,75753.0,2.0,82.53209677419353,35.92209677419355,86.11080645161293,-40.25806451612903,-13.637096774193548,-18.79032258064516,-43.45161290322581,-40.016129032258064,16.596774193548388
Bassett,175.9327731092437,23599.0,2.0,84.12336134453778,36.42579831932774,87.7726050420168,-40.016806722689076,-13.378151260504202,-17.69747899159664,-43.09243697478992,-39.6890756302521,16.369747899159663
Bell,436.7984496124031,36667.0,1.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Bell Gardens,468.5692307692308,44054.0,1.0,80.77130769230769,35.453615384615404,84.26684615384616,-40.5,-14.023076923076923,-19.776923076923076,-43.83076923076923,-40.33076923076923,16.838461538461537
Bellflower,579.8571428571429,72829.0,2.0,79.98879699248118,35.318796992481204,83.41556390977445,-40.54887218045113,-14.150375939849624,-20.082706766917294,-43.962406015037594,-40.51127819548872,16.969924812030076
Beverly Hills,199.24460431654677,33829.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Beverlywood,48.125,6080.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Boyle Heights,1051.2158273381294,92756.0,1.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Brentwood,95.55072463768116,31344.0,2.0,78.99615942028984,35.2213043478261,82.25956521739133,-40.528985507246375,-13.91304347826087,-20.333333333333332,-43.93478260869565,-40.35507246376812,17.007246376811594
Burbank,420.0367647058824,100316.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Calabasas,84.125,23130.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Canoga Park,548.9473684210526,53227.0,2.0,79.98879699248118,35.318796992481204,83.41556390977445,-40.54887218045113,-14.150375939849624,-20.082706766917294,-43.962406015037594,-40.51127819548872,16.969924812030076
Canyon Country,37.17557251908397,25899.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
Carson,481.8345323741007,89549.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Castaic,859.625,16843.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Central,615.390625,27849.0,1.0,81.27046874999999,35.577265625,84.83250000000001,-40.4453125,-13.9375,-19.546875,-43.71875,-40.1875,16.71875
Century City,43.3014705882353,5513.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Cerritos,155.5820895522388,51831.0,2.0,79.66186567164178,35.23104477611941,83.08888059701493,-40.634328358208954,-14.238805970149254,-20.20149253731343,-44.03731343283582,-40.492537313432834,16.96268656716418
Chatsworth,210.90697674418604,35073.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Claremont,82.78125,35397.0,2.0,81.27046874999999,35.577265625,84.83250000000001,-40.4453125,-13.9375,-19.546875,-43.71875,-40.1875,16.71875
Cloverdale/Cochran,90.34848484848484,6817.0,1.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
Compton,951.9924242424242,94384.0,1.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
Covina,299.5514705882353,50954.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Crestview,84.55882352941177,5284.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Culver City,143.19424460431654,38816.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Del Rey,99.41791044776119,28010.0,2.0,79.66186567164178,35.23104477611941,83.08888059701493,-40.634328358208954,-14.238805970149254,-20.20149253731343,-44.03731343283582,-40.492537313432834,16.96268656716418
Diamond Bar,116.56834532374101,56784.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Downey,1061.4885496183206,107323.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
Downtown,198.25925925925927,27849.0,1.0,79.42392592592591,35.173777777777794,82.86162962962965,-40.68888888888889,-14.22962962962963,-20.25925925925926,-44.05185185185185,-40.44444444444444,16.97037037037037
Duarte,142.0909090909091,21486.0,2.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
Eagle Rock,199.7753623188406,32493.0,2.0,78.99615942028984,35.2213043478261,82.25956521739133,-40.528985507246375,-13.91304347826087,-20.333333333333332,-43.93478260869565,-40.35507246376812,17.007246376811594
East Hollywood,228.09774436090225,73967.0,1.0,79.98879699248118,35.318796992481204,83.41556390977445,-40.54887218045113,-14.150375939849624,-20.082706766917294,-43.962406015037594,-40.51127819548872,16.969924812030076
East Los Angeles,1529.4264705882354,125897.0,1.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Echo Park,57.86764705882353,40455.0,1.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
El Monte,1045.424,116249.0,1.0,82.23615999999998,35.84816000000002,85.79400000000001,-40.272,-13.704,-18.944,-43.504,-40.104,16.648
El Segundo,41.44444444444444,15970.0,2.0,79.42392592592591,35.173777777777794,82.86162962962965,-40.68888888888889,-14.22962962962963,-20.25925925925926,-44.05185185185185,-40.44444444444444,16.97037037037037
El Sereno,302.93700787401576,40954.0,2.0,81.57031496062993,35.673700787401586,85.12866141732283,-40.37007874015748,-13.881889763779528,-19.291338582677167,-43.653543307086615,-40.196850393700785,16.69291338582677
Encino,154.36690647482015,41905.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Exposition Park,347.5,31062.0,1.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
Gardena,328.3884892086331,57818.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Glassell Park,216.87596899224806,23467.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Glendale,997.273381294964,195047.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Glendora,267.3731343283582,50177.0,2.0,79.66186567164178,35.23104477611941,83.08888059701493,-40.634328358208954,-14.238805970149254,-20.20149253731343,-44.03731343283582,-40.492537313432834,16.96268656716418
Granada Hills,335.7410071942446,50535.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Hacienda Heights,247.63565891472868,53525.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Hancock Park,90.19852941176471,9804.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Harbor City,140.11627906976744,23561.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Harbor Gateway,222.10687022900763,39688.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
Harvard Heights,163.65648854961833,18587.0,1.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
Harvard Park,428.5078125,10297.0,1.0,81.27046874999999,35.577265625,84.83250000000001,-40.4453125,-13.9375,-19.546875,-43.71875,-40.1875,16.71875
Hawthorne,502.0735294117647,86265.0,1.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Highland Park,297.8625954198473,57566.0,2.0,80.50587786259541,35.40007633587788,83.977786259542,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
Hollywood,342.84671532846716,77818.0,1.0,79.11036496350363,35.17043795620439,82.42729927007301,-40.62043795620438,-14.036496350364963,-20.394160583941606,-44.01459854014598,-40.40875912408759,17.014598540145986
Hollywood Hills,96.67883211678833,21588.0,2.0,79.11036496350363,35.17043795620439,82.42729927007301,-40.62043795620438,-14.036496350364963,-20.394160583941606,-44.01459854014598,-40.40875912408759,17.014598540145986
Huntington Park,759.1417322834645,61370.0,1.0,81.57031496062993,35.673700787401586,85.12866141732283,-40.37007874015748,-13.881889763779528,-19.291338582677167,-43.653543307086615,-40.196850393700785,16.69291338582677
Hyde Park,202.50757575757575,36635.0,1.0,80.24636363636361,35.35318181818183,83.69378787878789,-40.53787878787879,-14.113636363636363,-19.992424242424242,-43.92424242424242,-40.46212121212121,16.931818181818183
Inglewood,716.4172661870504,112482.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
Koreatown,319.57553956834533,115070.0,1.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
La Canada Flintridge,57.156716417910445,20009.0,2.0,79.66186567164178,35.23104477611941,83.08888059701493,-40.634328358208954,-14.238805970149254,-20.20149253731343,-44.03731343283582,-40.492537313432834,16.96268656716418
La Mirada,216.88489208633092,46782.0,2.0,78.91841726618702,35.30107913669065,82.12467625899284,-40.410071942446045,-13.755395683453237,-20.33812949640288,-43.83453237410072,-40.273381294964025,16.985611510791365
La Puente,309.5615384615385,41009.0,2.0,80.77130769230769,35.453615384615404,84.26684615384616,-40.5,-14.023076923076923,-19.776923076923076,-43.83076923076923,-40.33076923076923,16.838461538461537
La Verne,84.49253731343283,33117.0,2.0,79.66186567164178,35.23104477611941,83.08888059701493,-40.634328358208954,-14.238805970149254,-20.20149253731343,-44.03731343283582,-40.492537313432834,16.96268656716418
Lake Balboa,241.2,24238.0,2.0,79.42392592592591,35.173777777777794,82.86162962962965,-40.68888888888889,-14.22962962962963,-20.25925925925926,-44.05185185185185,-40.44444444444444,16.97037037037037
Lake Los Angeles,47.942622950819676,11141.0,2.0,83.1263114754098,36.08467213114754,86.73639344262297,-40.22950819672131,-13.557377049180328,-18.5,-43.33606557377049,-39.81967213114754,16.475409836065573
Lakewood,300.7037037037037,79412.0,2.0,79.42392592592591,35.173777777777794,82.86162962962965,-40.68888888888889,-14.22962962962963,-20.25925925925926,-44.05185185185185,-40.44444444444444,16.97037037037037
Lancaster,755.9705882352941,120783.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Lawndale,157.68382352941177,31729.0,2.0,79.25749999999998,35.158970588235306,82.64220588235295,-40.68382352941177,-14.161764705882353,-20.323529411764707,-44.0514705882353,-40.4485294117647,17.00735294117647
Leimert Park,84.4186046511628,11782.0,2.0,81.03790697674418,35.51844961240312,84.5625581395349,-40.48062015503876,-13.976744186046512,-19.65891472868217,-43.775193798449614,-40.25581395348837,16.782945736434108
Lincoln Heights,321.80916030534354,26616.0,1.0,80.50778625954197,35.405954198473296,83.97847328244276,-40.51908396946565,-14.068702290076336,-19.885496183206108,-43.87786259541985,-40.396946564885496,16.885496183206108
